Marca temporal,Rol dentro de la actividad agrícola ,  Rango de edad  ,  Años de experiencia en la actividad agrícola  ,  ¿Cómo lleva actualmente el control de sus cultivos y cosechas?  ,"  ¿Cómo controla su inventario de insumos (semillas, fertilizantes, herramientas)?   ","  Del 1 al 5, ¿qué tan organizado considera su proceso actual de registro?  ",  ¿Cuáles son las principales dificultades al momento de registrar o consultar información de sus cultivos?  ,  ¿Qué información necesita registrar con mayor frecuencia?  ,  ¿Necesita llevar control de gastos e ingresos por cultivo?   
2026-07-27 22:41:04.293,Otro,31-45,Más de 20 años,otro,"“El inventario de insumos se controla mediante un registro periódico de las existencias de semillas, fertilizantes y herramientas. Se lleva un control de las entradas y salidas de cada insumo, verificando las cantidades disponibles para evitar faltantes y planificar las compras o reposiciones necesarias.”",5,"Las principales dificultades al registrar o consultar información de los cultivos son la falta de tiempo para actualizar los registros, la pérdida o desorganización de datos en cuadernos físicos, errores al anotar información y la dificultad para acceder rápidamente al historial de siembras, fertilizaciones, riegos y cosechas cuando se necesita tomar decisiones",plagas o enfermedades,Si
2026-07-27 22:42:49.244,Agricultor,31-45,1 - 2 años,cuaderno físico,Semilla fertilizante ,5,No sé que poner al cultivo ,fechas de siembra,Si
2026-07-27 23:53:27.091,Productor,18-30,3 - 5 años,Excel,Haciendo un listado de los productos ,4,Los descensos de mercadería ,uso de fertilizantes / pesticidas,Si
2026-07-27 23:58:23.862,Agricultor,18-30,3 - 5 años,Excel,"Identificar los recursos ,llevar  un registro físico o digital y anotar cada salido y entrada",3,"La fata de conectividad con el campo  ,los datos  incompleto  o diversos ",fechas de siembra,Si
2026-07-28 07:50:45.957,Agricultor,18-30,1 - 2 años,no lleva registro,Semillas ,5,Las hormigas ,fechas de cosecha,Si
2026-07-28 10:02:18.642,Otro,18-30,1 - 2 años,otro,En medidas ,4,Que no este bien informada ,fechas de siembra,Si
2026-07-28 10:06:23.015,Otro,18-30,3 - 5 años,cuaderno físico,Por hectárea ,4,La falta de tiempo ,uso de fertilizantes / pesticidas,Si
2026-07-28 10:07:50.875,Productor,31-45,3 - 5 años,no lleva registro,Solo de memoria ,2,No tener una herramienta como dispositivo o plataforma fácil para llevar los registros ,plagas o enfermedades,Si
2026-07-28 10:07:55.048,Productor,46-60,Más de 20 años,no lleva registro,Mental mente,2,No tener una heramienta electrinica para llevar los registros fasil  memtee ,uso de fertilizantes / pesticidas,Si
2026-07-28 12:24:35.086,Administrador de finca,31-45,Más de 20 años,cuaderno físico,Mentalmente llevando las ideas ,5,Principal mente organizar el producto que se aplica ,fechas de cosecha,Si
2026-07-28 22:55:38.619,Agricultor,18-30,3 - 5 años,cuaderno físico,Semillas,3,Ehh,fechas de siembra,Si
2026-07-28 22:59:14.518,Agricultor,18-30,3 - 5 años,cuaderno físico,Semillas,4,Nose,fechas de siembra,Si
2026-07-28 23:01:03.084,Agricultor,18-30,3 - 5 años,Excel,Por cuaderno ,3,Si ,fechas de cosecha,Si
2026-07-28 23:01:04.293,Trabajador de campo,18-30,1 - 2 años,cuaderno físico,Herramientas,3,Difícil ya q no ay un medio q me ayudé con la Información de la finca,ventas,Si
2026-07-28 23:10:05.524,Administrador de finca,31-45,10 - 20 años,app o sistema,"Sistema, y lo tengo lo mejor prdennado que pueda",4,A vecespodemos omitir informacion,uso de fertilizantes / pesticidas,Si
2026-07-28 23:12:36.311,Otro,18-30,3 - 5 años,cuaderno físico,Semillas ,4,Cultivar ,plagas o enfermedades,Si
2026-07-29 06:59:23.989,Agricultor,18-30,3 - 5 años,no lleva registro,"Controlamos el inventario mediante un registro de los insumos que entran y salen, verificando periódicamente las cantidades disponibles de semillas, fertilizantes y herramientas para evitar pérdidas o faltantes",2,"Las principales dificultades son la falta de registros actualizados, la pérdida de información y el tiempo que toma organizar y consultar los datos de cada cultivo",plagas o enfermedades,Si
2026-07-29 09:51:19.240,Trabajador de campo,18-30,1 - 2 años,cuaderno físico,"se controla mediante un registro de entradas y salidas de semillas, fertilizantes y herramientas. Se realizan revisiones periódicas para verificar las existencias, identificar los materiales que necesitan reposición y mantener los insumos organizados y en buen estado.",4,Las principales dificultades son llevar un registro ordenado y actualizado de los cultivos,uso de fertilizantes / pesticidas,Si
2026-07-29 15:50:32.557,Trabajador de campo,18-30,3 - 5 años,cuaderno físico,"Semillas, fertilizantes ",5,Ninguna ,clima,Si
2026-07-29 15:53:38.757,Trabajador de campo,46-60,3 - 5 años,cuaderno físico,Todo en físico anotaciones en carpeta ,5,Cuando todo está en desorden ,uso de fertilizantes / pesticidas,Si
2026-08-27 20:58:59.548,Trabajador de campo,18-30,3 - 5 años,cuaderno físico,Cuenta física del producto ,3,Cantidades exactas ,fechas de siembra,Si
2026-08-27 21:02:36.665,Agricultor,31-45,10 - 20 años,cuaderno físico,"Cada árbol o planta está separado por sectores para cada producto, cacao, Achotillos etcc",3,Que se pueden mezclar o extravíar las hojas con los registros al ser un cuaderno o hoja,fechas de cosecha,Si
2026-08-27 21:05:32.872,Técnico o ingeniero agrónomo,18-30,1 - 2 años,Excel,Fertilizantes,2,Repetición de datos,costos,Si
2026-08-27 21:05:43.568,Administrador de finca,18-30,10 - 20 años,cuaderno físico,semillas,4,me confundo con los datos ,costos,Si
2026-08-27 21:08:17.387,Trabajador de campo,18-30,1 - 2 años,no lleva registro,Cuentas manuales,3,El conteo,costos,Si
2026-08-27 21:10:07.249,Trabajador de campo,18-30,1 - 2 años,no lleva registro,"Se lleva acabo mediante la medición del terreno mediante eso se calculaba cuando se necesitaba, tanto en semilla, como en fertilizantes ",3,"Con el olvido de las fechas, o confusión ",uso de fertilizantes / pesticidas,Si
2026-08-27 21:22:01.986,Productor,18-30,10 - 20 años,Excel,Excel tablas,3,Retardo de tiempo,ventas,Si
2026-08-27 21:22:47.597,Agricultor,31-45,10 - 20 años,Cuaderno físico,A papel y lapiz,2,ME olvido de las cosas,plagas o enfermedades,Si
2026-08-27 21:25:08.189,Administrador de finca,31-45,3 - 5 años,App o sistema,En mi sistema,3,Está algo descontinuado ,plagas o enfermedades,Si
2026-08-27 21:25:25.278,Agricultor,18-30,3 - 5 años,Excel,Mediante un excel,3,Contar o ver la información guardada en el excel,uso de fertilizantes / pesticidas,Si
2026-08-27 21:26:12.775,Administrador de finca,46-60,10 - 20 años,Excel,Papel,2,Perdida total del tiempo ,fechas de cosecha,Si
2026-08-27 21:28:54.420,Técnico o ingeniero agrónomo,31-45,Más de 20 años,Excel,fertilizantes,2,saber,fechas de cosecha,No
2026-08-27 21:29:35.698,Trabajador de campo,más de 60,3 - 5 años,App o sistema,hrramienta,1,numeros,plagas o enfermedades,No
2026-08-27 21:30:08.959,Trabajador de campo,46-60,10 - 20 años,App o sistema,semilla,3,orden,plagas o enfermedades,No
2026-08-27 21:30:45.355,Técnico o ingeniero agrónomo,más de 60,1 - 2 años,Excel,semilla,1,controlar,uso de fertilizantes / pesticidas,No
2026-08-27 21:31:19.786,Trabajador de campo,31-45,1 - 2 años,Cuaderno físico,semilla,1,orddenar,costos,No
2026-08-27 21:31:58.067,Técnico o ingeniero agrónomo,18-30,1 - 2 años,Cuaderno físico,semilla,1,finanzas,costos,No
2026-08-27 21:32:41.565,Agricultor,18-30,1 - 2 años,Cuaderno físico,semillas,1,ganancias,uso de fertilizantes / pesticidas,Si
2026-08-27 21:33:12.380,Técnico o ingeniero agrónomo,18-30,1 - 2 años,No lleva registro,semillas,2,ordenar,ventas,No
2026-08-27 21:33:47.538,Productor,18-30,Más de 20 años,Excel,fertilizantes,1,llevar elcontrol,uso de fertilizantes / pesticidas,No
2026-08-27 21:34:21.645,Productor,31-45,3 - 5 años,Otro,herramientas,3,controlar,plagas o enfermedades,No
2026-08-27 21:40:02.352,Productor,31-45,10 - 20 años,Excel,semillas,2,registra bien,costos,Si
2026-08-27 21:40:38.264,Técnico o ingeniero agrónomo,18-30,Más de 20 años,Cuaderno físico,dertilizantes,2,no perder las ceuntas,costos,Si
2026-08-27 21:41:18.212,Agricultor,más de 60,Más de 20 años,No lleva registro,ffertilizamtes,3,no las tengo,costos,No
2026-08-28 07:13:53.014,Productor,31-45,10 - 20 años,No lleva registro,"Fertilizante, herramientas",3,Ningúna ,uso de fertilizantes / pesticidas,Si
2026-09-04 18:00:47.095,Agricultor,31-45,3 - 5 años,No lleva registro,Fertilizantes ,3,Encontrar la información ,uso de fertilizantes / pesticidas,Si
2026-09-04 18:04:47.040,Agricultor,18-30,1 - 2 años,No lleva registro,Pues solo se escribe y se recuerda cuanto hay de cada insumo,2,Demasiados datos que llenar y manualmente ,fechas de cosecha,Si
2026-09-04 18:05:22.164,Agricultor,31-45,3 - 5 años,Excel,En hojas de cálculo ,4,Al momento de buscar ,uso de fertilizantes / pesticidas,Si
2026-09-04 18:05:54.328,Agricultor,46-60,10 - 20 años,No lleva registro,Cuaderno,3,Encontrar la información ,costos,Si
2026-09-04 18:07:43.497,Agricultor,31-45,10 - 20 años,No lleva registro,en cuaderno,2,Que se me pierde el cuaderno,uso de fertilizantes / pesticidas,Si
2026-09-04 18:09:12.893,Agricultor,18-30,1 - 2 años,No lleva registro,"Todo al instante, sin registro, solo recordando.",2,A veces no se recuerda lo que ya se ha hecho o comprado.,plagas o enfermedades,Si
2026-09-04 18:09:22.668,Agricultor,18-30,1 - 2 años,Cuaderno físico,De forma semanal,5,Confusion de fecha,uso de fertilizantes / pesticidas,Si
2026-09-04 18:11:00.147,Agricultor,31-45,3 - 5 años,Cuaderno físico,"Se anotan en un cuaderno, hasta en hojas de las cuales se guardan.",2,A veces se sabe perder la hoja o el cuaderno y no sé encuentra o a veces se saben mojar y no se ve bien las anotaciones.,plagas o enfermedades,Si
2026-09-04 18:14:55.294,Agricultor,31-45,Más de 20 años,App o sistema,Anotaciones por WhatsApp ,1,Encontrar los mensajes ,plagas o enfermedades,Si
2026-09-04 18:15:59.703,Agricultor,31-45,3 - 5 años,Cuaderno físico,En una hoja impresa ,2,La perdida de información ,uso de fertilizantes / pesticidas,Si
2026-09-04 18:16:38.660,Agricultor,18-30,3 - 5 años,Cuaderno físico,Anotó fechas de todo en un cuaderno que llevo solo para eso,4,Buscar la información ,fechas de cosecha,Si
2026-09-04 18:16:45.512,Agricultor,18-30,3 - 5 años,Cuaderno físico,Anotó en en un cuaderno ,3,Se pierden ,clima,Si
2026-09-04 18:46:07.858,Agricultor,18-30,1 - 2 años,Excel,Herramientas,3,El orden ,fechas de siembra,Si
2026-09-04 18:46:19.101,Agricultor,31-45,3 - 5 años,Cuaderno físico,Fertilizante,4,Que no den las cuentas ,fechas de siembra,Si
2026-09-04 18:47:44.247,Agricultor,31-45,3 - 5 años,Cuaderno físico,Fertilizante ,4,No llevar la cuenta ,uso de fertilizantes / pesticidas,Si
2026-09-04 18:49:07.518,Agricultor,31-45,1 - 2 años,Excel,Semillas ,5,Guardar informacion ,ventas,Si
2026-09-04 18:50:16.947,Agricultor,46-60,1 - 2 años,Cuaderno físico,Muy organizado ,5,Olvidar la cuenta ,fechas de siembra,Si
2026-09-04 18:51:14.386,Agricultor,más de 60,10 - 20 años,App o sistema,Insumos ,3,Olvidar las fechas ,ventas,Si
2026-09-04 18:52:07.703,Agricultor,más de 60,1 - 2 años,No lleva registro,Semillas,5,Los registros,fechas de cosecha,Si
2026-09-04 18:52:47.834,Agricultor,31-45,3 - 5 años,App o sistema,Herramientas ,4,La administración ,fechas de siembra,Si
2026-09-04 18:53:34.989,Agricultor,31-45,3 - 5 años,Excel,Semillas ,5,Las cosas,plagas o enfermedades,Si
2026-09-04 18:54:21.707,Técnico o ingeniero agrónomo,31-45,Más de 20 años,App o sistema,Fertilizantes ,4,Los cuadernos ,otro,Si
2026-09-04 18:55:03.816,Agricultor,más de 60,10 - 20 años,No lleva registro,Herramientas ,3,Los cuadernos ,costos,Si
2026-09-04 18:55:34.416,Agricultor,46-60,Más de 20 años,No lleva registro,Semilas,3,Ok mañana ,fechas de siembra,Si
2026-09-04 18:56:01.562,Agricultor,18-30,1 - 2 años,Cuaderno físico,Fertilizantes ,4,Si,plagas o enfermedades,Si
2026-09-04 19:04:13.545,Agricultor,46-60,10 - 20 años,No lleva registro,Por cuaderno,2,Revisar las fechas ,fechas de cosecha,Si
2026-09-04 19:04:34.908,Agricultor,31-45,1 - 2 años,Cuaderno físico,Cuaderno ,3,Cuaderno ,uso de fertilizantes / pesticidas,Si
2026-09-04 19:04:36.905,Agricultor,31-45,3 - 5 años,Cuaderno físico,Por cuaderno,3,Revisar las fechas ,fechas de cosecha,Si
2026-09-04 19:05:02.216,Agricultor,46-60,10 - 20 años,Cuaderno físico,Fertilizantes,3,Revisar las fechas ,uso de fertilizantes / pesticidas,Si
2026-09-04 19:05:30.880,Agricultor,46-60,10 - 20 años,No lleva registro,fertilizantes,2,No hay registro claro,uso de fertilizantes / pesticidas,Si
2026-09-04 19:05:31.060,Agricultor,31-45,10 - 20 años,Cuaderno físico,Por cuaderno,4,Revisar las fechas ,plagas o enfermedades,Si
2026-09-04 19:05:37.563,Agricultor,31-45,3 - 5 años,Cuaderno físico,Fertilizantes,3,Sin registro claro ,plagas o enfermedades,Si
2026-09-04 19:05:52.254,Agricultor,46-60,10 - 20 años,Cuaderno físico,Por cuaderno,3,Revisar las fechas ,fechas de cosecha,Si
2026-09-04 19:06:08.604,Agricultor,31-45,10 - 20 años,Cuaderno físico,Por cuaderno,1,Revisar las fechas ,uso de fertilizantes / pesticidas,Si
2026-09-04 19:06:46.081,Agricultor,18-30,3 - 5 años,Excel,semillas ,3,no saber cómo ,fechas de cosecha,No
2026-09-04 19:07:22.007,Agricultor,31-45,10 - 20 años,Cuaderno físico,Por cuaderno,2,Revisar las fechas ,fechas de cosecha,Si
2026-09-04 19:07:26.702,Agricultor,31-45,3 - 5 años,Cuaderno físico,Fertilizantes y herramientas,3,El registro suele perderse,fechas de cosecha,Si
2026-09-04 19:07:49.157,Agricultor,31-45,10 - 20 años,Cuaderno físico,Fertilizantes y semillas,3,Se pierde el registro ,uso de fertilizantes / pesticidas,Si
2026-09-04 19:07:53.633,Agricultor,18-30,3 - 5 años,Cuaderno físico,Cuaderno ,4,Muchas ,clima,Si
2026-09-04 19:08:16.114,Agricultor,18-30,3 - 5 años,No lleva registro,Cuaderno ,3,Cuaderno ,uso de fertilizantes / pesticidas,Si
2026-09-04 19:08:42.243,Agricultor,46-60,10 - 20 años,Cuaderno físico,Semillas y fertilizantes,3,El registro se pierde y no se hace una consulta real,uso de fertilizantes / pesticidas,Si
2026-09-04 19:08:47.825,Agricultor,31-45,10 - 20 años,No lleva registro,Cuaderno ,2,Cuaderno ,ventas,Si
2026-09-04 19:09:13.401,Agricultor,31-45,10 - 20 años,Cuaderno físico,Cuaderno ,4,Cuaderno ,ventas,Si
2026-09-04 19:09:44.444,Agricultor,31-45,3 - 5 años,No lleva registro,Semillas ,4,Si ,costos,Si
2026-09-04 19:09:47.065,Agricultor,31-45,3 - 5 años,Cuaderno físico,Semillas e herramientas,2,No se realizan buenas consultas,ventas,Si
2026-09-04 19:10:24.695,Agricultor,46-60,10 - 20 años,Cuaderno físico,EN UNA LIBRETA ,5,Se pierde ,uso de fertilizantes / pesticidas,Si
2026-09-04 19:10:50.861,Agricultor,31-45,3 - 5 años,App o sistema,Cuaderno ,4,Se pierden ,fechas de cosecha,Si
2026-09-04 19:11:37.645,Agricultor,31-45,3 - 5 años,No lleva registro,Cuaderno ,4,Se pierde la información ,clima,Si
